Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
"novel transcript, sense intronic to BACH1",ENSG00000296886,,21,29434289,29445259,1,lncRNA
"novel transcript, sense intronic to BACH1",ENSG00000296905,,21,29459691,29460577,1,lncRNA
BACH1 intronic transcript 3 [Source:HGNC Symbol;Acc:HGNC:16455],ENSG00000234293,BACH1-IT3,21,29496047,29500386,1,lncRNA
glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579],ENSG00000171189,GRIK1,21,29536933,29940033,-1,protein_coding
"novel transcript, antisense to GRIK1",ENSG00000296862,,21,29561595,29577335,1,lncRNA
"novel transcript, antisense to GRIK1",ENSG00000273464,,21,29657406,29657831,1,lncRNA
GRIK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16458],ENSG00000174680,GRIK1-AS1,21,29748175,29764002,1,lncRNA
novel transcript,ENSG00000259981,,21,30089717,30097836,1,lncRNA
claudin 17 [Source:HGNC Symbol;Acc:HGNC:2038],ENSG00000156282,CLDN17,21,30165565,30166805,-1,protein_coding
long intergenic non-protein coding RNA 307 [Source:HGNC Symbol;Acc:HGNC:16727],ENSG00000227342,LINC00307,21,30209151,30211783,-1,lncRNA
claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050],ENSG00000156284,CLDN8,21,30214006,30216097,-1,protein_coding
ribosomal protein L8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17220],ENSG00000225267,RPL8P2,21,30263380,30263881,-1,processed_pseudogene
keratin associated protein 24-1 [Source:HGNC Symbol;Acc:HGNC:33902],ENSG00000188694,KRTAP24-1,21,30281309,30282950,-1,protein_coding
keratin associated protein 25-1 [Source:HGNC Symbol;Acc:HGNC:34003],ENSG00000232263,KRTAP25-1,21,30289145,30289514,-1,protein_coding
keratin associated protein 26-1 [Source:HGNC Symbol;Acc:HGNC:33760],ENSG00000197683,KRTAP26-1,21,30319124,30320315,-1,protein_coding
keratin associated protein 27-1 [Source:HGNC Symbol;Acc:HGNC:33864],ENSG00000206107,KRTAP27-1,21,30337013,30337694,-1,protein_coding
keratin associated protein 23-1 [Source:HGNC Symbol;Acc:HGNC:18928],ENSG00000186980,KRTAP23-1,21,30348399,30348606,-1,protein_coding
"keratin associated protein 13-6, pseudogene [Source:HGNC Symbol;Acc:HGNC:18930]",ENSG00000250973,KRTAP13-6P,21,30356515,30356885,-1,unprocessed_pseudogene
keratin associated protein 13-2 [Source:HGNC Symbol;Acc:HGNC:18923],ENSG00000182816,KRTAP13-2,21,30371390,30372271,-1,protein_coding
microRNA 4327 [Source:HGNC Symbol;Acc:HGNC:38355],ENSG00000265007,MIR4327,21,30375294,30375378,-1,miRNA
keratin associated protein 13-1 [Source:HGNC Symbol;Acc:HGNC:18924],ENSG00000198390,KRTAP13-1,21,30396031,30396822,1,protein_coding
keratin associated protein 13-3 [Source:HGNC Symbol;Acc:HGNC:18925],ENSG00000240432,KRTAP13-3,21,30425380,30425926,-1,protein_coding
keratin associated protein 13-4 [Source:HGNC Symbol;Acc:HGNC:18926],ENSG00000186971,KRTAP13-4,21,30430220,30431026,1,protein_coding
"keratin associated protein 13-5, pseudogene [Source:HGNC Symbol;Acc:HGNC:18929]",ENSG00000233640,KRTAP13-5P,21,30436466,30436964,-1,unprocessed_pseudogene
keratin associated protein 15-1 [Source:HGNC Symbol;Acc:HGNC:18927],ENSG00000186970,KRTAP15-1,21,30440275,30440869,1,protein_coding
novel transcript,ENSG00000295465,,21,30444600,30475711,-1,lncRNA
"novel transcript, antisense to KRTAP19-4 and KRTAP19-2 and KRTAP19-5 and KRTAP19-3 and KRTAP19-1",ENSG00000303806,,21,30475828,30525439,1,lncRNA
keratin associated protein 19-1 [Source:HGNC Symbol;Acc:HGNC:18936],ENSG00000184351,KRTAP19-1,21,30479706,30480367,-1,protein_coding
keratin associated protein 19-2 [Source:HGNC Symbol;Acc:HGNC:18937],ENSG00000186965,KRTAP19-2,21,30487043,30487436,-1,protein_coding
keratin associated protein 19-3 [Source:HGNC Symbol;Acc:HGNC:18938],ENSG00000244025,KRTAP19-3,21,30491462,30492013,-1,protein_coding
keratin associated protein 19-4 [Source:HGNC Symbol;Acc:HGNC:18939],ENSG00000186967,KRTAP19-4,21,30496824,30497165,-1,protein_coding
keratin associated protein 19-5 [Source:HGNC Symbol;Acc:HGNC:18940],ENSG00000186977,KRTAP19-5,21,30501657,30502141,-1,protein_coding
"keratin associated protein 19-9, pseudogene [Source:HGNC Symbol;Acc:HGNC:18950]",ENSG00000237841,KRTAP19-9P,21,30510307,30510497,-1,unprocessed_pseudogene
"keratin associated protein 19-10, pseudogene [Source:HGNC Symbol;Acc:HGNC:18951]",ENSG00000235312,KRTAP19-10P,21,30514613,30514799,-1,unprocessed_pseudogene
novel keratin associated protein (KRTAP) family pseudogene,ENSG00000218125,,21,30526546,30526701,-1,unprocessed_pseudogene
"novel transcript, antisense to KRTAP22-2 and KRTAP19-6 and KRTAP6-1 and KRTAP6-2 and KRTAP19-7",ENSG00000308278,,21,30530799,30620068,1,lncRNA
"keratin associated protein 19-11, pseudogene [Source:HGNC Symbol;Acc:HGNC:18952]",ENSG00000236612,KRTAP19-11P,21,30537278,30537381,-1,unprocessed_pseudogene
keratin associated protein 19-6 [Source:HGNC Symbol;Acc:HGNC:18941],ENSG00000186925,KRTAP19-6,21,30541535,30541864,-1,protein_coding
keratin associated protein 19-7 [Source:HGNC Symbol;Acc:HGNC:18942],ENSG00000244362,KRTAP19-7,21,30560875,30561314,-1,protein_coding
keratin associated protein 22-2 [Source:HGNC Symbol;Acc:HGNC:37091],ENSG00000206106,KRTAP22-2,21,30590105,30590397,-1,protein_coding
keratin associated protein 6-3 [Source:HGNC Symbol;Acc:HGNC:18933],ENSG00000212938,KRTAP6-3,21,30592440,30593055,1,protein_coding
keratin associated protein 6-2 [Source:HGNC Symbol;Acc:HGNC:18932],ENSG00000186930,KRTAP6-2,21,30598590,30598902,-1,protein_coding
keratin associated protein 22-1 [Source:HGNC Symbol;Acc:HGNC:18947],ENSG00000186924,KRTAP22-1,21,30601087,30601382,1,protein_coding
keratin associated protein 6-1 [Source:HGNC Symbol;Acc:HGNC:18931],ENSG00000184724,KRTAP6-1,21,30613431,30613930,-1,protein_coding
keratin associated protein 20-1 [Source:HGNC Symbol;Acc:HGNC:18943],ENSG00000244624,KRTAP20-1,21,30616425,30616699,1,protein_coding
keratin associated protein 20-4 [Source:HGNC Symbol;Acc:HGNC:34002],ENSG00000206105,KRTAP20-4,21,30620627,30620850,1,protein_coding
keratin associated protein 20-2 [Source:HGNC Symbol;Acc:HGNC:18944],ENSG00000184032,KRTAP20-2,21,30635206,30635619,1,protein_coding
keratin associated protein 20-3 [Source:HGNC Symbol;Acc:HGNC:34001],ENSG00000206104,KRTAP20-3,21,30642864,30643136,1,protein_coding
"novel transcript, sense overlapping KRTAP21-3",ENSG00000295670,,21,30706733,30725653,-1,lncRNA
keratin associated protein 21-3 [Source:HGNC Symbol;Acc:HGNC:34216],ENSG00000231068,KRTAP21-3,21,30718525,30718777,-1,protein_coding
"keratin associated protein 21-4, pseudogene [Source:HGNC Symbol;Acc:HGNC:18954]",ENSG00000236400,KRTAP21-4P,21,30741780,30742595,-1,unprocessed_pseudogene
keratin associated protein 21-2 [Source:HGNC Symbol;Acc:HGNC:18946],ENSG00000187026,KRTAP21-2,21,30746794,30747259,-1,protein_coding
keratin associated protein 21-1 [Source:HGNC Symbol;Acc:HGNC:18945],ENSG00000187005,KRTAP21-1,21,30755015,30755428,-1,protein_coding
novel keratin associated protein 21 (KRTAP21) family pseudogene,ENSG00000238257,,21,30762682,30762882,-1,unprocessed_pseudogene
"keratin associated protein 8-2, pseudogene [Source:HGNC Symbol;Acc:HGNC:18948]",ENSG00000233036,KRTAP8-2P,21,30802242,30802427,-1,unprocessed_pseudogene
"keratin associated protein 8-3, pseudogene [Source:HGNC Symbol;Acc:HGNC:18949]",ENSG00000227840,KRTAP8-3P,21,30806932,30807119,-1,unprocessed_pseudogene
keratin associated protein 8-1 [Source:HGNC Symbol;Acc:HGNC:18935],ENSG00000183640,KRTAP8-1,21,30812697,30813274,-1,protein_coding
keratin associated protein 7-1 [Source:HGNC Symbol;Acc:HGNC:18934],ENSG00000274749,KRTAP7-1,21,30829039,30829759,-1,protein_coding
keratin associated protein 11-1 [Source:HGNC Symbol;Acc:HGNC:18922],ENSG00000182591,KRTAP11-1,21,30880644,30881580,-1,protein_coding
"novel transcript, sense overlapping KRTAP19-8",ENSG00000294875,,21,31013974,31088017,-1,lncRNA
keratin associated protein 19-8 [Source:HGNC Symbol;Acc:HGNC:33898],ENSG00000206102,KRTAP19-8,21,31038159,31038476,-1,protein_coding
ubiquitin protein ligase E3A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:12498],ENSG00000228941,UBE3AP2,21,31060600,31063168,-1,processed_pseudogene
TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805],ENSG00000156299,TIAM1,21,31117985,31559977,-1,protein_coding
"novel transcript, antisense to TIAM1",ENSG00000306019,,21,31160446,31165300,1,lncRNA
"novel transcript, sense intronic to TIAM1",ENSG00000308272,,21,31336497,31338890,-1,lncRNA
"novel transcript, antisense to TIAM1",ENSG00000286643,,21,31347736,31359157,1,lncRNA
MTRES1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54503],ENSG00000237325,MTRES1P2,21,31452466,31453223,1,processed_pseudogene
"novel transcript, sense intronic to TIAM1",ENSG00000304272,,21,31541792,31543336,-1,lncRNA
TIAM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54361],ENSG00000237594,TIAM1-AS1,21,31559245,31560487,1,lncRNA
"novel transcript, sense intronic to TIAM1",ENSG00000297999,,21,31560854,31566113,-1,lncRNA
"novel transcript, antisense to TIAM1",ENSG00000298042,,21,31593205,31593723,1,lncRNA
SOD1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55683],ENSG00000234509,SOD1-DT,21,31624034,31659500,-1,lncRNA
F-box and WD repeat domain containing 11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1145],ENSG00000230870,FBXW11P1,21,31627127,31628600,-1,processed_pseudogene
"novel transcript, antisense to TIAM1",ENSG00000298022,,21,31654926,31655489,1,lncRNA
superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179],ENSG00000142168,SOD1,21,31659633,31668931,1,protein_coding
,ENSG00000238390,,21,31664306,31664482,1,snoRNA
"novel transcript, antisense to SOD1",ENSG00000273271,,21,31666728,31667247,-1,lncRNA
SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304],ENSG00000156304,SCAF4,21,31670804,31732184,-1,protein_coding
high mobility group nucleosome binding domain 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4985],ENSG00000229046,HMGN1P2,21,31706555,31706864,1,processed_pseudogene
novel transcript,ENSG00000300283,,21,31732288,31732874,1,lncRNA
novel transcript,ENSG00000273091,,21,31735732,31736407,1,lncRNA
TPT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16742],ENSG00000234107,TPT1P1,21,31840341,31840858,1,processed_pseudogene
"novel transcript, antisense to HUNK",ENSG00000295250,,21,31871859,31874147,-1,lncRNA
hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326],ENSG00000142149,HUNK,21,31873020,32044633,1,protein_coding
HUNK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40631],ENSG00000237138,HUNK-AS1,21,32020966,32021782,-1,lncRNA
long intergenic non-protein coding RNA 159 [Source:HGNC Symbol;Acc:HGNC:1285],ENSG00000230323,LINC00159,21,32080314,32247266,-1,lncRNA
novel transcript,ENSG00000308154,,21,32132165,32136169,1,lncRNA
novel transcript,ENSG00000261610,,21,32259804,32261585,-1,lncRNA
MIS18 kinetochore protein A [Source:HGNC Symbol;Acc:HGNC:1286],ENSG00000159055,MIS18A,21,32268224,32279098,-1,protein_coding
MIS18A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40106],ENSG00000227256,MIS18A-AS1,21,32277863,32280999,1,lncRNA
MRAP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40108],ENSG00000232623,MRAP-AS1,21,32283682,32308737,-1,lncRNA
melanocortin 2 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:1304],ENSG00000170262,MRAP,21,32291813,32314784,1,protein_coding
URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344],ENSG00000142207,URB1,21,32311018,32393029,-1,protein_coding
"small nucleolar RNA, H/ACA box 80A [Source:HGNC Symbol;Acc:HGNC:32666]",ENSG00000200792,SNORA80A,21,32377187,32377322,-1,snoRNA
URB1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:23128],ENSG00000256073,URB1-AS1,21,32393048,32394380,1,lncRNA
CFAP298-TCP10L readthrough [Source:HGNC Symbol;Acc:HGNC:54636],ENSG00000265590,CFAP298-TCP10L,21,32402511,32612865,-1,protein_coding
eva-1 homolog C [Source:HGNC Symbol;Acc:HGNC:13239],ENSG00000166979,EVA1C,21,32411710,32517158,1,protein_coding
exosome component 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33989],ENSG00000229007,EXOSC3P1,21,32496812,32497311,1,processed_pseudogene
t-complex 10 like [Source:HGNC Symbol;Acc:HGNC:11657],ENSG00000242220,TCP10L,21,32497967,32587373,-1,protein_coding
,ENSG00000252045,,21,32538299,32538434,1,snoRNA
novel transcript,ENSG00000297779,,21,32544880,32551176,1,lncRNA
"RNA, 5S ribosomal pseudogene 490 [Source:HGNC Symbol;Acc:HGNC:43390]",ENSG00000252950,RNA5SP490,21,32563075,32563210,1,rRNA_pseudogene
cilia and flagella associated protein 298 [Source:HGNC Symbol;Acc:HGNC:1301],ENSG00000159079,CFAP298,21,32592079,32612845,-1,protein_coding
olfactory receptor family 7 subfamily E member 23 pseudogene [Source:HGNC Symbol;Acc:HGNC:8395],ENSG00000228433,OR7E23P,21,32621084,32622083,1,unprocessed_pseudogene
ribosomal protein S24 (RPS24) pseudogene,ENSG00000238220,,21,32624416,32625096,-1,processed_pseudogene
synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503],ENSG00000159082,SYNJ1,21,32628757,32728040,-1,protein_coding
PAXBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39603],ENSG00000238197,PAXBP1-AS1,21,32728079,32747065,1,lncRNA
PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579],ENSG00000159086,PAXBP1,21,32733899,32771796,-1,protein_coding
EPCIP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1290],ENSG00000205930,EPCIP-AS1,21,32772100,33019751,1,lncRNA
TEC,ENSG00000279690,,21,32790673,32791504,-1,TEC
exosomal polycystin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:1305],ENSG00000205929,EPCIP,21,32790673,32813743,-1,protein_coding
pseudogene similar to part of ribosomal protein L10 (RPL10),ENSG00000224427,,21,32841496,32841811,-1,processed_pseudogene
Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],ENSG00000207098,SNORA70,21,32841861,32841995,-1,snoRNA
novel transcript,ENSG00000232360,,21,32844342,32850008,-1,lncRNA
novel transcript,ENSG00000227757,,21,32913649,33071590,-1,lncRNA
"novel transcript, sense intronic to SCAF4",ENSG00000301293,,21,32940656,32951274,-1,lncRNA
"novel transcript, sense intronic to SCAF4",ENSG00000301276,,21,32953276,32966290,-1,lncRNA
long intergenic non-protein coding RNA 1690 [Source:HGNC Symbol;Acc:HGNC:52477],ENSG00000228961,LINC01690,21,32958807,32960566,1,lncRNA
novel transcript,ENSG00000301393,,21,33022879,33024361,1,lncRNA
oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398],ENSG00000205927,OLIG2,21,33025327,33029196,1,protein_coding
novel transcript,ENSG00000301417,,21,33029432,33029958,1,lncRNA
novel transcript,ENSG00000301372,,21,33035351,33037078,1,lncRNA
long intergenic non-protein coding RNA 945 [Source:HGNC Symbol;Acc:HGNC:48643],ENSG00000232539,LINC00945,21,33057829,33065873,1,lncRNA
oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983],ENSG00000184221,OLIG1,21,33070141,33072413,1,protein_coding
"novel transcript, sense intronic to SCAF4",ENSG00000294108,,21,33077448,33078298,-1,lncRNA
novel transcript,ENSG00000226527,,21,33110867,33123947,-1,lncRNA
novel transcript,ENSG00000226433,,21,33152614,33159110,1,lncRNA
long intergenic non-protein coding RNA 1548 [Source:HGNC Symbol;Acc:HGNC:1296],ENSG00000229086,LINC01548,21,33164806,33170672,-1,lncRNA
"novel transcript, antisense to IFNAR2",ENSG00000300126,,21,33172935,33230685,-1,lncRNA
interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433],ENSG00000159110,IFNAR2,21,33205282,33265675,1,protein_coding
IFNAR2-IL10RB readthrough [Source:NCBI gene (formerly Entrezgene);Acc:127882475],ENSG00000249624,IFNAR2-IL10RB,21,33229892,33297160,1,protein_coding
IL10RB divergent transcript [Source:HGNC Symbol;Acc:HGNC:44303],ENSG00000223799,IL10RB-DT,21,33263873,33266301,-1,lncRNA
interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965],ENSG00000243646,IL10RB,21,33266363,33311420,1,protein_coding
"novel transcript, antisense to IL10RB",ENSG00000294417,,21,33287913,33302114,-1,lncRNA
"novel transcript, antisense to IFNAR1",ENSG00000289238,,21,33324132,33324910,-1,lncRNA
interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432],ENSG00000142166,IFNAR1,21,33324387,33359864,1,protein_coding
upstream transcription factor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23773],ENSG00000226501,USF1P1,21,33334596,33335097,1,processed_pseudogene
novel transcript,ENSG00000310284,,21,33380796,33381153,1,lncRNA
"novel transcript, sense intronic to IFNGR2",ENSG00000289939,,21,33402572,33403047,1,lncRNA
interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440],ENSG00000159128,IFNGR2,21,33403369,33479348,1,protein_coding
transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280],ENSG00000142188,TMEM50B,21,33432485,33479974,-1,protein_coding
"novel transcript, antisense to TMEM50B",ENSG00000310160,,21,33480121,33486386,1,lncRNA
RPS5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10427],ENSG00000215088,RPS5P3,21,33481580,33482195,-1,processed_pseudogene
novel transcript,ENSG00000231355,,21,33482499,33484329,-1,lncRNA
DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297],ENSG00000177692,DNAJC28,21,33486096,33491749,-1,protein_coding
novel transcript,ENSG00000298843,,21,33491994,33495198,-1,lncRNA
"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]",ENSG00000159131,GART,21,33503371,33543524,-1,protein_coding
basic transcription factor 3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:23765],ENSG00000233956,BTF3P6,21,33518610,33519108,-1,processed_pseudogene
SON DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11183],ENSG00000159140,SON,21,33543038,33577481,1,protein_coding
microRNA 6501 [Source:HGNC Symbol;Acc:HGNC:50033],ENSG00000284448,MIR6501,21,33550662,33550728,1,miRNA
DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993],ENSG00000159147,DONSON,21,33559542,33589015,-1,protein_coding
novel protein similar to ATP synthase delta (OSCP) subunit domain,ENSG00000249209,,21,33584687,33931607,-1,protein_coding
crystallin zeta like 1 [Source:HGNC Symbol;Acc:HGNC:2420],ENSG00000205758,CRYZL1,21,33589341,33643926,-1,protein_coding
intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183],ENSG00000205726,ITSN1,21,33642400,33899861,1,protein_coding
ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850],ENSG00000241837,ATP5PO,21,33901028,33915853,-1,protein_coding
long intergenic non-protein coding RNA 649 [Source:HGNC Symbol;Acc:HGNC:44305],ENSG00000237945,LINC00649,21,33915534,34039762,1,lncRNA
"RNA, 7SL, cytoplasmic 740, pseudogene [Source:HGNC Symbol;Acc:HGNC:46756]",ENSG00000244294,RN7SL740P,21,33918995,33919338,-1,misc_RNA
novel transcript,ENSG00000273102,,21,33947257,33968573,-1,lncRNA
novel transcript,ENSG00000305888,,21,33973939,33977147,-1,lncRNA
novel transcript,ENSG00000305908,,21,34016843,34019022,-1,lncRNA
mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051],ENSG00000243927,MRPS6,21,34073224,34362252,1,protein_coding
"novel protein, readthrough between SLC5A3 and MRPS6",ENSG00000293606,,21,34073576,34143030,1,protein_coding
solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038],ENSG00000198743,SLC5A3,21,34073578,34106260,1,protein_coding
RPS5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17222],ENSG00000224598,RPS5P2,21,34135432,34136071,-1,processed_pseudogene
long intergenic non-protein coding RNA 310 [Source:HGNC Symbol;Acc:HGNC:16414],ENSG00000227456,LINC00310,21,34157724,34325034,1,lncRNA
"novel transcript, antisense to MRPS6",ENSG00000304893,,21,34159940,34175087,-1,lncRNA
potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242],ENSG00000159197,KCNE2,21,34180729,34371381,1,protein_coding
"novel transcript, antisense to KCNE2 and MRPS6",ENSG00000304932,,21,34201425,34204308,-1,lncRNA
novel transcript,ENSG00000225555,,21,34353099,34375809,-1,lncRNA
small integral membrane protein 11 [Source:HGNC Symbol;Acc:HGNC:1293],ENSG00000205670,SMIM11,21,34375131,34416961,1,protein_coding
chromosome 21 open reading frame 140 [Source:HGNC Symbol;Acc:HGNC:39602],ENSG00000222018,C21orf140,21,34400112,34401072,-1,protein_coding
novel transcript,ENSG00000273104,,21,34412200,34412587,1,lncRNA
small integral membrane protein 34 [Source:HGNC Symbol;Acc:HGNC:39601],ENSG00000243627,SMIM34,21,34414494,34423951,-1,protein_coding
novel transcript,ENSG00000272958,,21,34425508,34426017,1,lncRNA
potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240],ENSG00000180509,KCNE1,21,34446688,34512214,-1,protein_coding
,ENSG00000221398,,21,34456110,34456237,-1,snoRNA
novel protein,ENSG00000288711,,21,34511122,34614913,-1,protein_coding
regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040],ENSG00000159200,RCAN1,21,34513142,34615113,-1,protein_coding
novel transcript,ENSG00000302803,,21,34645007,34648493,1,lncRNA
novel transcript,ENSG00000303927,,21,34654808,34663902,-1,lncRNA
chloride intracellular channel 6 [Source:HGNC Symbol;Acc:HGNC:2065],ENSG00000159212,CLIC6,21,34668994,34718227,1,protein_coding
long intergenic non-protein coding RNA 160 [Source:HGNC Symbol;Acc:HGNC:1294],ENSG00000230978,LINC00160,21,34723807,34737204,-1,lncRNA
long intergenic non-protein coding RNA 1426 [Source:HGNC Symbol;Acc:HGNC:50734],ENSG00000234380,LINC01426,21,34745725,34784886,1,lncRNA
RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471],ENSG00000159216,RUNX1,21,34787801,36004667,-1,protein_coding
"novel transcript, antisense to RUNX1",ENSG00000297102,,21,34831038,34831355,1,lncRNA
RUNX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56821],ENSG00000286153,RUNX1-AS1,21,34836286,34884882,1,lncRNA
RUNX1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58231],ENSG00000234703,RUNX1-AS2,21,35136638,35139222,1,lncRNA
novel transcript,ENSG00000309377,,21,35349750,35404409,-1,lncRNA
ribosomal protein L34 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10343],ENSG00000223671,RPL34P3,21,35472095,35472432,-1,processed_pseudogene
enhancer of zeste 2 polycomb repressive complex 2 subunit pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39918],ENSG00000231300,EZH2P1,21,35599732,35600022,-1,processed_pseudogene
novel transcript,ENSG00000230794,,21,35713139,35733006,-1,lncRNA
novel transcript,ENSG00000307337,,21,35719350,35719544,1,lncRNA
microRNA 802 [Source:HGNC Symbol;Acc:HGNC:33140],ENSG00000211590,MIR802,21,35720715,35720808,1,miRNA
ribosomal protein S20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10408],ENSG00000229761,RPS20P1,21,35724747,35725100,-1,processed_pseudogene
protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:9290],ENSG00000234008,PPP1R2P2,21,35887195,35887807,1,processed_pseudogene
long intergenic non-protein coding RNA 1436 [Source:HGNC Symbol;Acc:HGNC:50754],ENSG00000231106,LINC01436,21,36005131,36008300,1,lncRNA
ribosomal protein L23a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10320],ENSG00000214914,RPL23AP3,21,36016079,36016546,-1,processed_pseudogene
SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258],ENSG00000185917,SETD4,21,36034534,36079389,-1,protein_coding
ribosomal modification protein rimK like family member B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34034],ENSG00000189089,RIMKLBP1,21,36050214,36051377,1,processed_pseudogene
SETD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40104],ENSG00000236677,SETD4-AS1,21,36060337,36064408,1,lncRNA
"RNA, U6 small nuclear 992, pseudogene [Source:HGNC Symbol;Acc:HGNC:47955]",ENSG00000200213,RNU6-992P,21,36066545,36066652,1,snRNA
carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548],ENSG00000159228,CBR1,21,36069941,36073166,1,protein_coding
"novel transcript, antisense to SETD4",ENSG00000289001,,21,36070024,36070700,1,lncRNA
CBR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55777],ENSG00000230212,CBR1-AS1,21,36074881,36075602,-1,lncRNA
novel transcript,ENSG00000236119,,21,36082859,36090414,1,lncRNA
CBR3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43664],ENSG00000236830,CBR3-AS1,21,36098090,36175815,-1,lncRNA
novel transcript,ENSG00000233393,,21,36104627,36109690,1,lncRNA
novel transcript,ENSG00000295923,,21,36121752,36130719,-1,lncRNA
novel transcript,ENSG00000295944,,21,36130116,36131024,1,lncRNA
MEMO1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23274],ENSG00000226054,MEMO1P1,21,36130489,36131376,1,transcribed_processed_pseudogene
ribosomal protein S9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10443],ENSG00000214889,RPS9P1,21,36132450,36133032,1,processed_pseudogene
carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549],ENSG00000159231,CBR3,21,36135079,36146566,1,protein_coding
DOP1 leucine zipper like protein B [Source:HGNC Symbol;Acc:HGNC:1291],ENSG00000142197,DOP1B,21,36156758,36294275,1,protein_coding
ribosomal protein L3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10352],ENSG00000228149,RPL3P1,21,36168970,36170180,-1,processed_pseudogene
